順位,順位変動,前日順位,業種名,前日比率,前日比率差
"1","","","鉱業","+3.30",""
"2","","","海運業","+2.13",""
"3","","","電気・ガス","+0.83",""
"4","","","水産・農林業","+0.82",""
"5","","","銀行業","+0.64",""
"6","","","情報・通信業","+0.52",""
"7","","","食料品","+0.45",""
"8","","","倉庫・運輸","+0.30",""
"9","","","パルプ・紙","+0.29",""
"10","","","石油・石炭","+0.19",""
"11","","","保険業","+0.14",""
"12","","","サービス業","+0.14",""
"13","","","証券・商品","+0.09",""
"14","","","繊維製品","-0.01",""
"15","","","陸運業","-0.09",""
"16","","","卸売業","-0.11",""
"17","","","小売業","-0.13",""
"18","","","その他金融業","-0.15",""
"19","","","医薬品","-0.18",""
"20","","","ゴム製品","-0.36",""
"21","","","不動産業","-0.40",""
"22","","","その他製品","-0.49",""
"23","","","鉄鋼","-0.51",""
"24","","","化学","-0.67",""
"25","","","ガラス・土石","-1.21",""
"26","","","電気機器","-1.27",""
"27","","","金属製品","-1.38",""
"28","","","建設業","-1.60",""
"29","","","空運業","-1.62",""
"30","","","輸送用機器","-1.64",""
"31","","","非鉄金属","-1.81",""
"32","","","機械","-2.06",""
"33","","","精密機器","-2.06",""
