順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑17","3","18","水産・農林業","-0.05","-0.66%","0"
"2","↑11","2","13","海運業","-0.30","-1.12%","0"
"3","↑18","1","21","銀行業","-0.66","-1.19%","0"
"4","↑7","2","11","医薬品","-0.70","-1.71%","0"
"5","↑3","2","8","保険業","-0.80","-2.15%","0"
"6","↑13","5","19","食料品","-0.94","-1.53%","0"
"7","↑24","1","31","小売業","-1.25","-0.75%","0"
"8","↓3","0","5","卸売業","-1.50","-4.30%","0"
"9","↑11","1","20","倉庫・運輸","-1.54","-2.10%","0"
"10","↑5","3","15","その他金融業","-1.54","-2.24%","0"
"11","↑11","1","22","陸運業","-1.60","-2.09%","0"
"12","↓11","0","1","電気・ガス","-2.07","-6.35%","0"
"13","↑10","2","23","証券・商品","-2.17","-2.42%","0"
"14","↓5","0","9","不動産業","-2.19","-3.50%","0"
"15","↓11","0","4","鉄鋼","-2.20","-5.81%","0"
"16","↓14","0","2","鉱業","-2.25","-6.06%","0"
"17","↑9","1","26","パルプ・紙","-2.26","-2.40%","0"
"18","↓12","0","6","建設業","-2.29","-4.46%","0"
"19","↓5","0","14","化学","-2.44","-3.18%","0"
"20","↓4","0","16","ゴム製品","-2.50","-3.17%","0"
"21","↓4","0","17","精密機器","-2.63","-3.29%","0"
"22","↓19","0","3","石油・石炭","-2.68","-6.35%","0"
"23","↑4","1","27","その他製品","-2.69","-2.61%","0"
"24","↑5","1","29","金属製品","-2.86","-2.67%","0"
"25","↑5","1","30","機械","-2.98","-2.58%","0"
"26","↓16","0","10","情報・通信業","-2.98","-4.04%","0"
"27","↓15","0","12","繊維製品","-3.06","-4.00%","0"
"28","↓3","0","25","空運業","-3.16","-3.32%","0"
"29","↓22","0","7","輸送用機器","-3.41","-5.48%","0"
"30","↓2","0","28","電気機器","-3.59","-3.47%","0"
"31","↓7","0","24","ガラス・土石","-4.00","-4.23%","0"
"32","↑1","1","33","サービス業","-4.15","-2.24%","0"
"33","↓1","0","32","非鉄金属","-5.04","-3.91%","0"
